"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"66011000","庭园用伞及类似伞","420","法属圭亚那","603","千克","67","把","1,518",
"66039000","伞、手杖、鞭子及类似品的其他零件及装饰品","420","法属圭亚那","282","千克","0","?","90",
"67021000","塑料制人造花、叶、果实及其零件和制品","420","法属圭亚那","140","千克","0","?","537",
"67041900","合成纺织材料制假发，胡须，眉毛及睫毛等","420","法属圭亚那","115","千克","0","?","691",
"68118990","纤维素水泥或类似材料制未列名制品，不含石棉的","420","法属圭亚那","1042","千克","0","?","996",
"69101000","瓷制固定卫生设备","420","法属圭亚那","8680","千克","1240","件","6,975",
"69111019","其他瓷制餐具","420","法属圭亚那","70","千克","0","?","105",
"69131000","瓷制塑像及其他装饰品","420","法属圭亚那","1377","千克","0","?","9,486",
"69139000","陶制塑像及其他装饰品","420","法属圭亚那","16","千克","0","?","47",
"70099100","未镶框玻璃镜","420","法属圭亚那","1256","千克","0","?","4,188",
"70099200","已镶框玻璃镜","420","法属圭亚那","393","千克","0","?","2,583",
"70133700","其他玻璃杯","420","法属圭亚那","188","千克","0","?","6,955",
"70139900","其他玻璃盥洗室、办公室、室内装饰等器皿","420","法属圭亚那","24","千克","0","?","67",
"72107090","其他涂漆或涂塑的铁或非合金钢平板轧材，宽≥600mm","420","法属圭亚那","17854","千克","0","?","13,894",
"72230000","不锈钢丝","420","法属圭亚那","72","千克","0","?","270",
"72292000","硅锰钢钢丝","420","法属圭亚那","43","千克","0","?","180",
"73066100","矩形或正方形截面的其他焊缝管","420","法属圭亚那","3976","千克","0","?","2,804",
"73083000","钢铁制门窗及其框架、门槛","420","法属圭亚那","10","千克","0","?","28",
"73102990","其他盛装物料用钢铁容器，容积＜50L","420","法属圭亚那","12","千克","0","?","43",
"73211100","用气体等燃料的钢铁制家用炊事器具及加热板","420","法属圭亚那","1480","千克","10","个","3,850",
"73211900","其他钢铁制家用炊事器具及加热板","420","法属圭亚那","1231","千克","342","个","2,839",
"73218100","其他使用气体燃料的钢铁制家用器具","420","法属圭亚那","310","千克","2","个","630",
"73241000","不锈钢洗涤槽及脸盆","420","法属圭亚那","393","千克","0","?","720",
"73262090","其他钢铁丝制品","420","法属圭亚那","16","千克","0","?","82",
"73269090","未列名非工业用钢铁制品","420","法属圭亚那","223","千克","0","?","585",
"76052900","其他铝合金丝","420","法属圭亚那","25","千克","0","?","180",
"76069100","其他非合金铝板、片及带，厚度＞0.2mm","420","法属圭亚那","1342","千克","0","?","9,571",
"82013000","镐、锄及耙","420","法属圭亚那","83","千克","816","把","213",
"82024000","链锯条","420","法属圭亚那","29","千克","0","?","134",
"82075090","其他材料制工作部件的钻孔工具","420","法属圭亚那","14","千克","20","件","73",
"83062990","未列名贱金属雕塑像及其他装饰品","420","法属圭亚那","27","千克","0","?","59",
"84099199","其他点燃式活塞内燃发动机的零件","420","法属圭亚那","2","千克","0","?","40",
"84143011","冷藏、冷冻箱压缩机，电动机额定功率≤0.4kw","420","法属圭亚那","4","台","36","千克","80",
"84145192","输出功率≤125瓦的落地扇","420","法属圭亚那","3780","台","9734","千克","27,216",
"84148049","未列名空气及其他气体压缩机","420","法属圭亚那","2","台","220","千克","980",
"84149090","8414所列其他机器的零件","420","法属圭亚那","2908","千克","0","?","8,733",
"84159010","84151010、84151021、84158110、84158210所列设备的零件","420","法属圭亚那","7815","千克","0","?","34,091",
"84159090","84151022、84152000、84158120、84158220及84158300设备的零件","420","法属圭亚那","15064","千克","0","?","74,831",
"84181020","容积超过200升，但不超过500升的冷藏－冷冻组合机，各自装有单独外门或抽屉，或其组合","420","法属圭亚那","329","台","18669","千克","50,818",
"84182110","容积＞150L的压缩式家用型冷藏箱","420","法属圭亚那","24","台","1748","千克","6,740",
"84182120","50L＜容积≤150L的压缩式家用型冷藏箱","420","法属圭亚那","263","台","6665","千克","21,419",
"84183029","T＞-40℃的柜式冷冻箱，容积≤500L","420","法属圭亚那","412","台","9893","千克","27,720",
"84186990","未列名制冷设备","420","法属圭亚那","2","台","90","千克","520",
"84189999","品目8418设备的未列名零件","420","法属圭亚那","60","千克","0","?","120",
"84213990","其他非家用型气体的过滤、净化机器及装置","420","法属圭亚那","3","个","300","千克","1,500",
"84221100","家用型洗碟机","420","法属圭亚那","10","台","435","千克","1,395",
"84221900","非家用型洗碟机","420","法属圭亚那","2","台","380","千克","1,600",
"84231000","体重计，包括婴儿秤；家用秤","420","法属圭亚那","78","台","58","千克","159",
"84242000","喷枪及类似器具","420","法属圭亚那","157","个","40","千克","171",
"84243000","喷汽机、喷砂机及类似的喷射机器","420","法属圭亚那","1","台","226","千克","2,990",
"84244100","便携式农业或园艺用喷雾器","420","法属圭亚那","120","台","6","千克","18",
"84248910","家用液体或粉末的喷射、散布或喷雾机械器具","420","法属圭亚那","102","台","36","千克","118",
"84254290","提升车辆用的液压提升机","420","法属圭亚那","2","台","2210","千克","4,160",
"84351000","制酒、制果汁或制饮料的压榨机、轧碎机及类似机器","420","法属圭亚那","1","台","50","千克","540",
"84501120","滚筒式全自动洗衣机，干衣量≤10kg","420","法属圭亚那","251","台","13263","千克","19,235",
"84521099","其他家用型缝纫机","420","法属圭亚那","90","台","233","千克","1,755",
"84624900","板材用其他冲孔、开槽或步冲机床，包括冲剪两用机","420","法属圭亚那","1","台","175","千克","675",
"84672100","手提式各种电钻","420","法属圭亚那","2","台","78","千克","850",
"84672910","手提电动砂磨工具（包括磨光机、砂光机等）","420","法属圭亚那","10","台","10","千克","65",
"84716090","其他输入或输出部件","420","法属圭亚那","1","台","1","千克","18",
"84717011","固态硬盘(SSD)","420","法属圭亚那","1","台","1","千克","21",
"84718000","自动数据处理设备的其他部件","420","法属圭亚那","3","台","2","千克","57",
"84733090","品目8471所列其他机器的零件、附件","420","法属圭亚那","1","千克","0","?","24",
"84741000","固体矿物质的分类、筛选、分离或洗涤机器","420","法属圭亚那","1","台","3000","千克","5,800",
"84742090","其他固体矿物质的破碎或磨粉机器","420","法属圭亚那","1","台","6200","千克","14,670",
"84749000","品目8474所列机器的零件","420","法属圭亚那","3150","千克","0","?","5,040",
"84796000","蒸发式空气冷却器","420","法属圭亚那","7","台","253","千克","740",
"84798999","未列名具有独立功能的机器及机械器具","420","法属圭亚那","1","台","215","千克","480",
"84818090","龙头、旋塞及类似装置","420","法属圭亚那","835","套","1555","千克","12,410",
"85044030","逆变器","420","法属圭亚那","10","个","225","千克","8,013",
"85044099","未列名静止式变流器","420","法属圭亚那","1","个","1","千克","10",
"85072000","其他铅酸蓄电池","420","法属圭亚那","400","个","1730","千克","6,811",
"85081900","其他电动真空吸尘器","420","法属圭亚那","180","台","988","千克","4,194",
"85094090","食品研磨机及搅拌器","420","法属圭亚那","336","台","664","千克","6,027",
"85098090","其他家用电动器具","420","法属圭亚那","452","台","1877","千克","15,699",
"85158090","未列名焊接机器及装置；用于热喷金属或金属陶瓷的电气机器及装置","420","法属圭亚那","1","台","335","千克","11,832",
"85165000","微波炉","420","法属圭亚那","2217","台","23666","千克","63,610",
"85166030","电饭锅","420","法属圭亚那","3","个","25","千克","60",
"85166050","电烤箱","420","法属圭亚那","216","个","5568","千克","16,792",
"85166090","其他电炉；电锅、电热板、加热环、烧烤炉等","420","法属圭亚那","318","个","995","千克","3,395",
"85167220","片式烤面包机（多士炉）","420","法属圭亚那","8","个","17","千克","608",
"85167290","其他电热烤面包器","420","法属圭亚那","24","个","15","千克","91",
"85167990","未列名电热器具","420","法属圭亚那","5","个","230","千克","472",
"85169090","品目8516所列其他货品的零件","420","法属圭亚那","25","千克","0","?","55",
"85176294","无线耳机、无线耳塞","420","法属圭亚那","50","个","3","千克","75",
"85182100","单喇叭音箱","420","法属圭亚那","10","个","34","千克","40",
"85183000","耳机、耳塞（无线耳机、耳塞除外），不论是否装有传声器，由传声器及一个或多个扬声器组成的组合机","420","法属圭亚那","4033","个","241","千克","6,182",
"85235110","未录制固态非易失性存储器件（闪速存储器）","420","法属圭亚那","1","个","0","千克","36",
"85258939","非特种用途的其他类型视频摄录一体机","420","法属圭亚那","1","台","0","千克","577",
"85312000","装有液晶装置或发光二极管的显示板","420","法属圭亚那","1","个","550","千克","12,945",
"85444211","有接头电缆，额定电压≤80V","420","法属圭亚那","1","千克","5","米","7",
"85444219","其他有接头电导体，额定电压≤80V","420","法属圭亚那","448","千克","0","?","2,383",
"87111000","装有活塞内燃发动机，排气量不超过50毫升的摩托车及装有辅助发动机的脚踏车","420","法属圭亚那","30","辆","3750","千克","27,720",
"87112020","装有活塞内燃发动机，排气量超过100毫升，但不超过125毫升的摩托车及装有辅助发动机的脚踏车","420","法属圭亚那","6","辆","822","千克","8,034",
"87141000","摩托车（包括机器脚踏两用车)用零件、附件","420","法属圭亚那","125","千克","0","?","30",
"90069199","其他照像机未列名零件","420","法属圭亚那","0","千克","0","?","74",
"90303320","电阻测试仪，无记录装置","420","法属圭亚那","1","台","6","千克","913",
"90318090","未列名测量或检验仪器、器具及机器","420","法属圭亚那","7","台","154","千克","1,993",
"90328990","其他自动调节或控制仪器及装置","420","法属圭亚那","1","台","1","千克","69",
"94014190","其他能作床用的木制两用椅，但庭院坐具或野营设备除外","420","法属圭亚那","52","个","4472","千克","8,164",
"94016190","其他带软垫的木框架坐具","420","法属圭亚那","399","个","26051","千克","93,836",
"94017110","皮革或再生皮革面的带软垫的金属框架坐具","420","法属圭亚那","345","个","1589","千克","3,812",
"94017190","其他带软垫的金属框架坐具","420","法属圭亚那","1176","个","6575","千克","17,189",
"94017900","其他金属框架坐具","420","法属圭亚那","1288","个","4625","千克","11,049",
"94018090","其他坐具","420","法属圭亚那","1224","个","6436","千克","13,862",
"94032000","其他金属家具","420","法属圭亚那","1389","件","6953","千克","21,329",
"94033000","办公室用木家具","420","法属圭亚那","6","件","622","千克","4,499",
"94036099","未列名木家具","420","法属圭亚那","329","件","10256","千克","22,876",
"94037000","塑料家具","420","法属圭亚那","224","件","794","千克","4,407",
"94038990","未列名材料制家具","420","法属圭亚那","58","件","1160","千克","1,160",
"94049040","化纤棉填充的其他寝具及类似用品","420","法属圭亚那","467","千克","0","?","2,899",
"94049090","未列名寝具及类似用品","420","法属圭亚那","117","千克","0","?","683",
"94053100","设计为仅使用发光二极管（LED）光源的圣诞树用的灯串","420","法属圭亚那","216","套","30","千克","243",
"94054100","光伏的且设计为仅使用发光二极管（LED）光源的其他电灯及照明装置","420","法属圭亚那","1065","台","146","千克","828",
"94054290","非光伏的且设计为仅使用发光二极管（LED）光源的其他电灯及照明装置","420","法属圭亚那","222","千克","0","?","3,539",
"94069000","其他材料制活动房屋","420","法属圭亚那","23000","千克","68","套","29,164",
"95030060","智力玩具","420","法属圭亚那","188","套","145","千克","369",
"95030089","未列名玩具及模型","420","法属圭亚那","156","个","76","千克","359",
"95049090","未列名游艺场所、桌上或室内游戏用品","420","法属圭亚那","48","台","5","千克","48",
"95064090","其他乒乓球用品及器械","420","法属圭亚那","37","千克","0","?","111",
"95069990","未列名运动或户外游戏用品及设备；游泳池或戏水池","420","法属圭亚那","12","个","22","千克","67",
"96039090","其他帚刷拖把等；制帚刷成束材料；橡皮扫帚","420","法属圭亚那","6603","个","1717","千克","17,977",
"96151100","硬质橡胶或塑料制梳子、发夹及类似品","420","法属圭亚那","699","千克","0","?","4,359",
"96180000","人体模型；橱窗装饰用自动模型等活动陈列品","420","法属圭亚那","61","千克","0","?","367",
"96200010","专用于品目85.19、85.21，子目8525.8、9006.3、9006.5、9007.1或9007.2所列设备的独脚架、双脚架、三脚架及类似品","420","法属圭亚那","0","千克","0","?","244",
"96200090","其他独脚架、双脚架、三脚架及类似品","420","法属圭亚那","1","千克","0","?","8",
"98040000","低值简易通关商品","420","法属圭亚那","3364","千克","0","?","190,246",
化合物","434","秘鲁","10","一般贸易","12","天津市","181,856",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","434","秘鲁","10","一般贸易","32","江苏省","1,923,388",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","434","秘鲁","10","一般贸易","33","浙江省","860,404",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","440","萨尔瓦多","10","一般贸易","33","浙江省","42,769",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","444","乌拉圭","10","一般贸易","33","浙江省","113,160",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","445","委内瑞拉","10","一般贸易","11","北京市","116,735",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","501","加拿大","10","一般贸易","33","浙江省","33,882",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","501","加拿大","10","一般贸易","51","四川省","29,960",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","10","一般贸易","11","北京市","1,510,873",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","10","一般贸易","12","天津市","194,865",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","10","一般贸易","31","上海市","4,845,659",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","10","一般贸易","32","江苏省","13,370,558",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","10","一般贸易","33","浙江省","32,590",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","10","一般贸易","35","福建省","77,027",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","10","一般贸易","37","山东省","26,596",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","10","一般贸易","50","重庆市","31,843",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","10","一般贸易","61","陕西省","6,873",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","39","其他","11","北京市","5,312",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","39","其他","12","天津市","866",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","502","美国","39","其他","31","上海市","9,288",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","601","澳大利亚","10","一般贸易","32","江苏省","84,718",
"202501","293349","其他含有一个喹啉或异喹啉环系的化合物","609","新西兰","10","一般贸易","31","上海市","159",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","103","孟加拉国","10","一般贸易","33","浙江省","1,334,361",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","110","中国香港","10","一般贸易","31","上海市","108",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","110","中国香港","10","一般贸易","32","江苏省","2,239",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","110","中国香港","10","一般贸易","33","浙江省","80,509",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","110","中国香港","10","一般贸易","37","山东省","312,425",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","110","中国香港","10","一般贸易","44","广东省","943,858",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","11","北京市","515,832",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","12","天津市","1,847,933",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","13","河北省","1,539,375",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","31","上海市","3,078,600",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","32","江苏省","9,230,605",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","33","浙江省","36,476,151",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","34","安徽省","122,597",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","36","江西省","3,219,784",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","37","山东省","2,278,260",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","41","河南省","562,484",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","42","湖北省","23,054,322",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","50","重庆市","29,831",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","61","陕西省","2,236",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","15","进料加工贸易","45","广西壮族自治区","2,147,153",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","39","其他","11","北京市","635",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","39","其他","12","天津市","815,064",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","39","其他","31","上海市","1,467",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","39","其他","33","浙江省","2,503",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","112","印度尼西亚","10","一般贸易","32","江苏省","70,260",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","112","印度尼西亚","10","一般贸易","33","浙江省","48,396",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","112","印度尼西亚","10","一般贸易","37","山东省","12,939",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","112","印度尼西亚","10","一般贸易","42","湖北省","6,048",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","112","印度尼西亚","10","一般贸易","44","广东省","318,944",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","112","印度尼西亚","10","一般贸易","50","重庆市","122,920",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","114","伊拉克","10","一般贸易","44","广东省","182,518",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","115","以色列","10","一般贸易","31","上海市","29,580",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","11","北京市","5,058",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","13","河北省","3,776,501",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","31","上海市","6,751,706",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","32","江苏省","113,495",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","33","浙江省","2,811,025",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","37","山东省","1,260,691",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","51","四川省","144",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","39","其他","33","浙江省","11,501",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","117","约旦","10","一般贸易","44","广东省","836,452",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","122","马来西亚","10","一般贸易","32","江苏省","336,412",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","127","巴基斯坦","10","一般贸易","11","北京市","501,492",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","127","巴基斯坦","10","一般贸易","15","内蒙古自治区","2,695,248",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","127","巴基斯坦","10","一般贸易","32","江苏省","130,187",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","127","巴基斯坦","10","一般贸易","33","浙江省","3,854,880",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","129","菲律宾","10","一般贸易","37","山东省","60,015",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","131","沙特阿拉伯","10","一般贸易","32","江苏省","17,647",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","132","新加坡","10","一般贸易","31","上海市","5,141",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","22","吉林省","2,660",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","31","上海市","25,727",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","32","江苏省","229,246",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","33","浙江省","2,416,886",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","36","江西省","725,012",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","37","山东省","221,987",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","61","陕西省","630,987",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","136","泰国","10","一般贸易","33","浙江省","379,117",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","137","土耳其","10","一般贸易","32","江苏省","1,016,016",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","137","土耳其","10","一般贸易","33","浙江省","462,867",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","137","土耳其","10","一般贸易","34","安徽省","9,309",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","138","阿联酋","10","一般贸易","33","浙江省","206,664",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","138","阿联酋","10","一般贸易","37","山东省","655,358",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","139","也门","10","一般贸易","33","浙江省","247,278",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","141","越南","10","一般贸易","33","浙江省","665,373",
"202502","293349","其他含有一个喹啉或异喹啉环系的化合物","141","越南","10","一般贸易","37","山东省","210,344",
